"condition","expression","E1","E2","E3","E4","E5","E6"
"E1",0.779007727984915,0,1,1,1,1,1
"E1",0.742229779122406,0,1,1,1,1,1
"E1",0.837499678734014,0,1,1,1,1,1
"E1",0.814584349403381,0,1,1,1,1,1
"E1",0.826683055564115,0,1,1,1,1,1
"E1",0.720555389034123,0,1,1,1,1,1
"E1",0.82424634117368,0,1,1,1,1,1
"E1",0.708241599766089,0,1,1,1,1,1
"E1",0.75833655547321,0,1,1,1,1,1
"E1",0.722183092605065,0,1,1,1,1,1
"E1",0.686169562960499,0,1,1,1,1,1
"E1",0.859849920578631,0,1,1,1,1,1
"E1",0.753164069614235,0,1,1,1,1,1
"E1",0.769054241613269,0,1,1,1,1,1
"E1",0.764646841331824,0,1,1,1,1,1
"E1",0.797988145741538,0,1,1,1,1,1
"E1",0.850294081603856,0,1,1,1,1,1
"E1",0.853774724601921,0,1,1,1,1,1
"E1",0.730313793430812,0,1,1,1,1,1
"E1",0.722778348743349,0,1,1,1,1,1
"E1",0.716132298652492,0,1,1,1,1,1
"E1",0.727318657058082,0,1,1,1,1,1
"E1",0.86576423745653,0,1,1,1,1,1
"E1",0.781652489979505,0,1,1,1,1,1
"E1",0.745009289795815,0,1,1,1,1,1
"E1",0.755415137602583,0,1,1,1,1,1
"E2",0.544538238724961,1,0,1,1,1,1
"E2",0.575816165506688,1,0,1,1,1,1
"E2",0.601576187688665,1,0,1,1,1,1
"E2",0.535651257173436,1,0,1,1,1,1
"E2",0.598632274742416,1,0,1,1,1,1
"E2",0.590891900041109,1,0,1,1,1,1
"E2",0.593475490041017,1,0,1,1,1,1
"E2",0.641657731232876,1,0,1,1,1,1
"E2",0.532533521520019,1,0,1,1,1,1
"E2",0.648701889325111,1,0,1,1,1,1
"E2",0.554684609599318,1,0,1,1,1,1
"E2",0.536628427206909,1,0,1,1,1,1
"E2",0.556012672961622,1,0,1,1,1,1
"E2",0.601289491610119,1,0,1,1,1,1
"E2",0.596588667476357,1,0,1,1,1,1
"E2",0.575109186569392,1,0,1,1,1,1
"E2",0.54495484083019,1,0,1,1,1,1
"E2",0.559195363016727,1,0,1,1,1,1
"E2",0.646690149378202,1,0,1,1,1,1
"E2",0.598820518678415,1,0,1,1,1,1
"E2",0.562454841088447,1,0,1,1,1,1
"E2",0.545455571480984,1,0,1,1,1,1
"E2",0.57996521112417,1,0,1,1,1,1
"E2",0.511618696109768,1,0,1,1,1,1
"E2",0.566848307273959,1,0,1,1,1,1
"E2",0.554857908788301,1,0,1,1,1,1
"E2",0.643713881620896,1,0,1,1,1,1
"E2",0.636772978519183,1,0,1,1,1,1
"E2",0.586116514574413,1,0,1,1,1,1
"E2",0.536368463277912,1,0,1,1,1,1
"E2",0.631565857153254,1,0,1,1,1,1
"E2",0.629283151609491,1,0,1,1,1,1
"E2",0.623486696348864,1,0,1,1,1,1
"E2",0.623897265655334,1,0,1,1,1,1
"E2",0.573031186705399,1,0,1,1,1,1
"E2",0.622449422101494,1,0,1,1,1,1
"E2",0.650243305531323,1,0,1,1,1,1
"E2",0.591271682297385,1,0,1,1,1,1
"E2",0.543727547258341,1,0,1,1,1,1
"E2",0.626572683778831,1,0,1,1,1,1
"E2",0.626233725461312,1,0,1,1,1,1
"E2",0.574978044071219,1,0,1,1,1,1
"E2",0.668864384998983,1,0,1,1,1,1
"E2",0.552357149635639,1,0,1,1,1,1
"E2",0.605765040796049,1,0,1,1,1,1
"E2",0.483633999977029,1,0,1,1,1,1
"E2",0.581905359496064,1,0,1,1,1,1
"E2",0.642323782624976,1,0,1,1,1,1
"E2",0.568199080130729,1,0,1,1,1,1
"E2",0.547471017643439,1,0,1,1,1,1
"E2",0.6234457527132,1,0,1,1,1,1
"E2",0.551663417803337,1,0,1,1,1,1
"E2",0.601963858497451,1,0,1,1,1,1
"E2",0.508311101751974,1,0,1,1,1,1
"E2",0.523535837273906,1,0,1,1,1,1
"E2",0.56829228436022,1,0,1,1,1,1
"E2",0.541101263969581,1,0,1,1,1,1
"E2",0.65313019156521,1,0,1,1,1,1
"E2",0.632352329013448,1,0,1,1,1,1
"E2",0.552798771106217,1,0,1,1,1,1
"E2",0.61628187549365,1,0,1,1,1,1
"E2",0.632386880621705,1,0,1,1,1,1
"E2",0.601459331666774,1,0,1,1,1,1
"E2",0.605929925055235,1,0,1,1,1,1
"E2",0.644355019319068,1,0,1,1,1,1
"E2",0.567016924567541,1,0,1,1,1,1
"E2",0.569914639004872,1,0,1,1,1,1
"E2",0.634111800401591,1,0,1,1,1,1
"E2",0.529255815841724,1,0,1,1,1,1
"E2",0.598184399359216,1,0,1,1,1,1
"E2",0.588020688207256,1,0,1,1,1,1
"E2",0.61130938413305,1,0,1,1,1,1
"E2",0.637339775757762,1,0,1,1,1,1
"E2",0.601976630074795,1,0,1,1,1,1
"E2",0.60031638888895,1,0,1,1,1,1
"E2",0.624415458356248,1,0,1,1,1,1
"E2",0.646351623036254,1,0,1,1,1,1
"E2",0.60739669948181,1,0,1,1,1,1
"E2",0.543317815257034,1,0,1,1,1,1
"E2",0.582155447748945,1,0,1,1,1,1
"E2",0.67057686548412,1,0,1,1,1,1
"E2",0.573023304769909,1,0,1,1,1,1
"E2",0.621660919518495,1,0,1,1,1,1
"E2",0.646694470089675,1,0,1,1,1,1
"E2",0.626597684920127,1,0,1,1,1,1
"E2",0.589185214721288,1,0,1,1,1,1
"E2",0.599724130457274,1,0,1,1,1,1
"E2",0.548064542168999,1,0,1,1,1,1
"E2",0.610032067975544,1,0,1,1,1,1
"E2",0.548067999818553,1,0,1,1,1,1
"E2",0.549589886453227,1,0,1,1,1,1
"E2",0.543227098670012,1,0,1,1,1,1
"E2",0.55907224670517,1,0,1,1,1,1
"E2",0.638729790579319,1,0,1,1,1,1
"E2",0.57122067549328,1,0,1,1,1,1
"E2",0.586186231705514,1,0,1,1,1,1
"E2",0.567895143232757,1,0,1,1,1,1
"E2",0.614758184822419,1,0,1,1,1,1
"E2",0.633014803867021,1,0,1,1,1,1
"E2",0.579706067762535,1,0,1,1,1,1
"E3",0.713946824524379,1,1,0,1,1,1
"E3",0.689022769838045,1,1,0,1,1,1
"E3",0.736085230311504,1,1,0,1,1,1
"E3",0.726395786489843,1,1,0,1,1,1
"E3",0.760524291650409,1,1,0,1,1,1
"E3",0.729458406398664,1,1,0,1,1,1
"E3",0.664771457702603,1,1,0,1,1,1
"E3",0.699834382105216,1,1,0,1,1,1
"E3",0.769089656083283,1,1,0,1,1,1
"E3",0.765160992730186,1,1,0,1,1,1
"E3",0.725431448691953,1,1,0,1,1,1
"E3",0.707347371839427,1,1,0,1,1,1
"E3",0.719406088271472,1,1,0,1,1,1
"E3",0.70534961405128,1,1,0,1,1,1
"E3",0.707959025255439,1,1,0,1,1,1
"E3",0.712380039525928,1,1,0,1,1,1
"E3",0.745076047354717,1,1,0,1,1,1
"E3",0.705380245831468,1,1,0,1,1,1
"E3",0.703536517894878,1,1,0,1,1,1
"E3",0.697526620235371,1,1,0,1,1,1
"E3",0.75741216304566,1,1,0,1,1,1
"E3",0.712253399803639,1,1,0,1,1,1
"E3",0.749757075442077,1,1,0,1,1,1
"E3",0.749121358654158,1,1,0,1,1,1
"E3",0.726294558981937,1,1,0,1,1,1
"E3",0.697543062930297,1,1,0,1,1,1
"E3",0.748058644834803,1,1,0,1,1,1
"E3",0.736698920753139,1,1,0,1,1,1
"E3",0.676366673473759,1,1,0,1,1,1
"E3",0.747543151349672,1,1,0,1,1,1
"E3",0.711869161329292,1,1,0,1,1,1
"E3",0.741363466460153,1,1,0,1,1,1
"E3",0.682072615341437,1,1,0,1,1,1
"E3",0.658175055309072,1,1,0,1,1,1
"E3",0.735099991573341,1,1,0,1,1,1
"E3",0.693552044479525,1,1,0,1,1,1
"E3",0.699366235115098,1,1,0,1,1,1
"E3",0.737495213576678,1,1,0,1,1,1
"E3",0.691537233586819,1,1,0,1,1,1
"E3",0.685902503142826,1,1,0,1,1,1
"E3",0.750941690660018,1,1,0,1,1,1
"E3",0.712790663618586,1,1,0,1,1,1
"E3",0.749261053930496,1,1,0,1,1,1
"E3",0.651417242102226,1,1,0,1,1,1
"E3",0.679880329617858,1,1,0,1,1,1
"E3",0.678529401356928,1,1,0,1,1,1
"E3",0.710076117287053,1,1,0,1,1,1
"E3",0.69449959463644,1,1,0,1,1,1
"E3",0.730595174078979,1,1,0,1,1,1
"E3",0.647828118742675,1,1,0,1,1,1
"E3",0.685042439209999,1,1,0,1,1,1
"E3",0.686356078476699,1,1,0,1,1,1
"E3",0.704217225450732,1,1,0,1,1,1
"E3",0.721131735666065,1,1,0,1,1,1
"E3",0.771530731262109,1,1,0,1,1,1
"E3",0.687241359473568,1,1,0,1,1,1
"E3",0.688694016118027,1,1,0,1,1,1
"E3",0.729678060258736,1,1,0,1,1,1
"E3",0.70172131437752,1,1,0,1,1,1
"E3",0.751112050276039,1,1,0,1,1,1
"E3",0.671754600993714,1,1,0,1,1,1
"E3",0.741774404297737,1,1,0,1,1,1
"E3",0.663738213551019,1,1,0,1,1,1
"E3",0.774576900346212,1,1,0,1,1,1
"E3",0.711144295843366,1,1,0,1,1,1
"E3",0.699225634686419,1,1,0,1,1,1
"E3",0.693787229467614,1,1,0,1,1,1
"E3",0.736029011473374,1,1,0,1,1,1
"E3",0.724104061154149,1,1,0,1,1,1
"E3",0.701208903680657,1,1,0,1,1,1
"E3",0.712040280861225,1,1,0,1,1,1
"E3",0.690888264278949,1,1,0,1,1,1
"E3",0.675353032629676,1,1,0,1,1,1
"E3",0.712757242375729,1,1,0,1,1,1
"E3",0.730523942992134,1,1,0,1,1,1
"E3",0.69470032270565,1,1,0,1,1,1
"E3",0.714629089372874,1,1,0,1,1,1
"E3",0.684970909447986,1,1,0,1,1,1
"E3",0.680674293282812,1,1,0,1,1,1
"E3",0.705134272925121,1,1,0,1,1,1
"E3",0.749077746101344,1,1,0,1,1,1
"E3",0.699801385944273,1,1,0,1,1,1
"E3",0.687963993992708,1,1,0,1,1,1
"E3",0.658551324466987,1,1,0,1,1,1
"E3",0.672929314565089,1,1,0,1,1,1
"E3",0.663941641444323,1,1,0,1,1,1
"E3",0.679313768579823,1,1,0,1,1,1
"E3",0.669715019872857,1,1,0,1,1,1
"E3",0.718936356863155,1,1,0,1,1,1
"E3",0.700206693063296,1,1,0,1,1,1
"E3",0.664889200330279,1,1,0,1,1,1
"E3",0.680634737325994,1,1,0,1,1,1
"E3",0.712053593174628,1,1,0,1,1,1
"E3",0.727013499912351,1,1,0,1,1,1
"E3",0.729414828809919,1,1,0,1,1,1
"E3",0.70528678601262,1,1,0,1,1,1
"E3",0.783329548066056,1,1,0,1,1,1
"E3",0.68787140367504,1,1,0,1,1,1
"E3",0.73862391394647,1,1,0,1,1,1
"E3",0.697720594916166,1,1,0,1,1,1
"E4",0.76385037132234,1,1,1,0,1,1
"E4",0.881551180827157,1,1,1,0,1,1
"E4",0.741918539275966,1,1,1,0,1,1
"E4",0.812036834033838,1,1,1,0,1,1
"E4",0.898851874829334,1,1,1,0,1,1
"E4",0.776436398067075,1,1,1,0,1,1
"E4",0.783351861487152,1,1,1,0,1,1
"E4",0.774719278306569,1,1,1,0,1,1
"E4",0.79321094446512,1,1,1,0,1,1
"E4",0.815631808048059,1,1,1,0,1,1
"E4",0.873261136231193,1,1,1,0,1,1
"E4",0.765917263856934,1,1,1,0,1,1
"E4",0.751180263010239,1,1,1,0,1,1
"E4",0.799994049968324,1,1,1,0,1,1
"E4",0.751636874797385,1,1,1,0,1,1
"E4",0.800975141754216,1,1,1,0,1,1
"E4",0.776732334752113,1,1,1,0,1,1
"E4",0.692807664296734,1,1,1,0,1,1
"E4",0.82106451323048,1,1,1,0,1,1
"E4",0.794608313745111,1,1,1,0,1,1
"E4",0.855958492059537,1,1,1,0,1,1
"E4",0.858146058454693,1,1,1,0,1,1
"E4",0.88597326577574,1,1,1,0,1,1
"E4",0.845710208469865,1,1,1,0,1,1
"E4",0.851647460717149,1,1,1,0,1,1
"E4",0.792803225175066,1,1,1,0,1,1
"E4",0.883361732675619,1,1,1,0,1,1
"E4",0.887603035789897,1,1,1,0,1,1
"E4",0.773570905311759,1,1,1,0,1,1
"E4",0.763218817528154,1,1,1,0,1,1
"E4",0.825036745343544,1,1,1,0,1,1
"E4",0.867023004408305,1,1,1,0,1,1
"E4",0.925511559965761,1,1,1,0,1,1
"E4",0.872704335299354,1,1,1,0,1,1
"E4",0.886568847539489,1,1,1,0,1,1
"E4",0.858659366320829,1,1,1,0,1,1
"E4",0.754928338865189,1,1,1,0,1,1
"E4",0.702513421524701,1,1,1,0,1,1
"E4",0.715117398785059,1,1,1,0,1,1
"E4",0.800783559975433,1,1,1,0,1,1
"E4",0.890315792982281,1,1,1,0,1,1
"E4",0.765883214471919,1,1,1,0,1,1
"E4",0.804381905868771,1,1,1,0,1,1
"E4",0.908596406660609,1,1,1,0,1,1
"E4",0.784176874782049,1,1,1,0,1,1
"E4",0.838065010677562,1,1,1,0,1,1
"E4",0.761409146763608,1,1,1,0,1,1
"E4",0.783982455239916,1,1,1,0,1,1
"E4",0.770013965712423,1,1,1,0,1,1
"E4",0.804665829095804,1,1,1,0,1,1
"E4",0.885723957716643,1,1,1,0,1,1
"E4",0.81825630241628,1,1,1,0,1,1
"E4",0.862385706646027,1,1,1,0,1,1
"E4",0.777022102659923,1,1,1,0,1,1
"E4",0.802391936795111,1,1,1,0,1,1
"E4",0.759402101390231,1,1,1,0,1,1
"E4",0.84817209760346,1,1,1,0,1,1
"E4",0.802370334028836,1,1,1,0,1,1
"E4",0.804936659097691,1,1,1,0,1,1
"E4",0.820665587666535,1,1,1,0,1,1
"E4",0.748208130916979,1,1,1,0,1,1
"E4",0.853542207535326,1,1,1,0,1,1
"E4",0.777734291168085,1,1,1,0,1,1
"E4",0.834581306600919,1,1,1,0,1,1
"E4",0.768124087710458,1,1,1,0,1,1
"E4",0.790269362308833,1,1,1,0,1,1
"E4",0.697125816487627,1,1,1,0,1,1
"E4",0.792368412513938,1,1,1,0,1,1
"E4",0.741025073815649,1,1,1,0,1,1
"E4",0.79353399670953,1,1,1,0,1,1
"E4",0.797531142306615,1,1,1,0,1,1
"E4",0.796393026397393,1,1,1,0,1,1
"E4",0.826682462392694,1,1,1,0,1,1
"E4",0.810038762177934,1,1,1,0,1,1
"E4",0.83020007235124,1,1,1,0,1,1
"E4",0.800109670168966,1,1,1,0,1,1
"E4",0.859818359299423,1,1,1,0,1,1
"E4",0.814731651348867,1,1,1,0,1,1
"E4",0.818332871648604,1,1,1,0,1,1
"E4",0.778553375289261,1,1,1,0,1,1
"E4",0.834689984260892,1,1,1,0,1,1
"E4",0.716169112888768,1,1,1,0,1,1
"E4",0.859926459289314,1,1,1,0,1,1
"E4",0.807052850516944,1,1,1,0,1,1
"E4",0.844066437893972,1,1,1,0,1,1
"E4",0.770755482273303,1,1,1,0,1,1
"E4",0.934597294979733,1,1,1,0,1,1
"E4",0.783284917242362,1,1,1,0,1,1
"E4",0.804318769485618,1,1,1,0,1,1
"E4",0.780724415696002,1,1,1,0,1,1
"E4",0.857309153762106,1,1,1,0,1,1
"E4",0.752131375081399,1,1,1,0,1,1
"E4",0.837790516766199,1,1,1,0,1,1
"E4",0.855970056810566,1,1,1,0,1,1
"E4",0.860689012136355,1,1,1,0,1,1
"E4",0.828617310511433,1,1,1,0,1,1
"E4",0.789994442760801,1,1,1,0,1,1
"E4",0.779753851007938,1,1,1,0,1,1
"E4",0.798670573315007,1,1,1,0,1,1
"E4",0.80519008960679,1,1,1,0,1,1
"E56",0.994367388413365,1,1,1,1,0,0
"E56",0.916026805667568,1,1,1,1,0,0
"E56",1.04653577015449,1,1,1,1,0,0
"E56",1.12130103193213,1,1,1,1,0,0
"E56",0.972995223364778,1,1,1,1,0,0
"E56",1.00293818746699,1,1,1,1,0,0
"E56",0.856877281305924,1,1,1,1,0,0
"E56",1.03521146817716,1,1,1,1,0,0
"E56",0.974796599007362,1,1,1,1,0,0
"E56",0.879589570615833,1,1,1,1,0,0
"E56",1.12135812229223,1,1,1,1,0,0
"E56",0.868250930854502,1,1,1,1,0,0
"E56",1.02777311548822,1,1,1,1,0,0
"E56",0.938792375464996,1,1,1,1,0,0
"E56",0.918676858018378,1,1,1,1,0,0
"E56",0.975644122122505,1,1,1,1,0,0
"E56",1.11960130616568,1,1,1,1,0,0
"E56",0.87558578727908,1,1,1,1,0,0
"E56",0.945696851273579,1,1,1,1,0,0
"E56",1.16312058973063,1,1,1,1,0,0
"E56",1.01606391620219,1,1,1,1,0,0
"E56",0.848542094707327,1,1,1,1,0,0
"E56",1.14635257677907,1,1,1,1,0,0
"E56",0.867418523896163,1,1,1,1,0,0
"E56",0.987468093509512,1,1,1,1,0,0
"E56",0.869022834109396,1,1,1,1,0,0
"E56",0.967572533095235,1,1,1,1,0,0
"E56",1.17590385560859,1,1,1,1,0,0
"E56",1.09223486003656,1,1,1,1,0,0
"E56",0.922092516125645,1,1,1,1,0,0
"E56",0.912415060428508,1,1,1,1,0,0
"E56",1.01377268027774,1,1,1,1,0,0
"E56",0.868182066319666,1,1,1,1,0,0
"E56",0.878690835320154,1,1,1,1,0,0
"E56",1.06998267815766,1,1,1,1,0,0
"E56",0.956932208725674,1,1,1,1,0,0
"E56",1.02579511141928,1,1,1,1,0,0
"E56",1.11170118693324,1,1,1,1,0,0
"E56",0.954037990833347,1,1,1,1,0,0
"E56",0.830874895861118,1,1,1,1,0,0
"E56",0.893804662125689,1,1,1,1,0,0
"E56",0.933239179644522,1,1,1,1,0,0
"E56",0.934171894297711,1,1,1,1,0,0
"E56",0.956041439365447,1,1,1,1,0,0
"E56",0.992295205770111,1,1,1,1,0,0
"E56",0.905945682583326,1,1,1,1,0,0
"E56",0.947032528420607,1,1,1,1,0,0
"E56",1.12978163121657,1,1,1,1,0,0
"E56",0.972128391511889,1,1,1,1,0,0
"E56",0.987264484062289,1,1,1,1,0,0
"E56",0.966174639241461,1,1,1,1,0,0
"E56",1.01108813248799,1,1,1,1,0,0
"E56",0.918919331943573,1,1,1,1,0,0
"E56",1.0808992260444,1,1,1,1,0,0
"E56",0.871148297559122,1,1,1,1,0,0
"E56",1.06534289125347,1,1,1,1,0,0
"E56",0.837736862322284,1,1,1,1,0,0
"E56",0.83384012395987,1,1,1,1,0,0
"E56",0.960953137196957,1,1,1,1,0,0
"E56",0.980573461701246,1,1,1,1,0,0
"E56",0.989536946734284,1,1,1,1,0,0
"E56",1.01911421369072,1,1,1,1,0,0
"E56",0.878620987639055,1,1,1,1,0,0
"E56",0.83067830373028,1,1,1,1,0,0
"E56",0.941441091813466,1,1,1,1,0,0
"E56",0.988735779733425,1,1,1,1,0,0
"E56",0.95135184710654,1,1,1,1,0,0
"E56",0.891675828187778,1,1,1,1,0,0
"E56",0.90051490230978,1,1,1,1,0,0
"E56",1.01905392405307,1,1,1,1,0,0
"E56",0.936997435786445,1,1,1,1,0,0
"E56",0.931940631168368,1,1,1,1,0,0
"E56",0.969047983077766,1,1,1,1,0,0
"E56",0.918688805021006,1,1,1,1,0,0
"E56",0.943817184855924,1,1,1,1,0,0
"E56",0.911529141070723,1,1,1,1,0,0
"E56",0.953292903894245,1,1,1,1,0,0
"E56",1.06814499361088,1,1,1,1,0,0
"E56",1.04282068633697,1,1,1,1,0,0
"E56",1.07982466650319,1,1,1,1,0,0
"E56",1.19801410588239,1,1,1,1,0,0
